                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.8796,                 0.9348,                 1.2595,                 0.5775,                 0.3411,                0.30847,                0.20246,                 1.2082,                 1.4223,                 1.6416,              0.0007228,              0.0007228,              0.0007228
                     58,                0.90827,                0.95112,                 1.2751,                0.59567,                0.35766,                0.31358,                 0.2217,                 1.1252,                 1.2945,                 1.5974,             0.00071785,             0.00071785,             0.00071785
                     59,                0.88459,                0.94204,                 1.2602,                0.71056,                0.27627,                0.33069,                0.21007,                 1.1734,                 1.3411,                 1.6519,              0.0007129,              0.0007129,              0.0007129
                     60,                0.88727,                0.91417,                 1.2634,                0.72142,                0.30643,                 0.3678,                0.24672,                 1.2198,                 1.3389,                 1.6967,             0.00070795,             0.00070795,             0.00070795
                     61,                0.84047,                0.89203,                 1.2508,                 0.7009,                0.28222,                 0.3408,                0.19852,                 1.2195,                 1.3774,                 1.7046,               0.000703,               0.000703,               0.000703
                     62,                0.84641,                0.89639,                 1.2449,                0.72937,                0.24364,                0.30035,                0.20536,                 1.1448,                 1.4097,                 1.5951,             0.00069805,             0.00069805,             0.00069805
                     63,                0.86455,                0.92376,                 1.2595,                0.71047,                0.29936,                0.33362,                0.21923,                 1.1973,                 1.3005,                 1.6787,              0.0006931,              0.0006931,              0.0006931
                     64,                0.85747,                0.87639,                 1.2342,                0.69382,                 0.3335,                0.34257,                0.21737,                  1.211,                 1.3866,                 1.6925,             0.00068815,             0.00068815,             0.00068815
                     65,                0.89187,                0.93159,                 1.2488,                0.68063,                0.34756,                0.35853,                 0.2396,                 1.1831,                 1.3522,                 1.6378,              0.0006832,              0.0006832,              0.0006832
                     66,                0.85314,                0.88871,                 1.2246,                0.65271,                0.36141,                0.35227,                0.24953,                  1.153,                 1.3232,                 1.6119,             0.00067825,             0.00067825,             0.00067825
                     67,                0.84576,                 0.9221,                 1.2288,                0.67822,                0.32053,                0.32695,                0.22133,                 1.2014,                 1.4367,                 1.6887,              0.0006733,              0.0006733,              0.0006733
                     68,                0.82585,                0.86677,                 1.2425,                0.73073,                0.33026,                0.35968,                0.25405,                 1.1034,                 1.3855,                 1.5881,             0.00066835,             0.00066835,             0.00066835
                     69,                0.84969,                 0.8685,                 1.2273,                0.76743,                0.32181,                0.36228,                0.25791,                 1.2156,                 1.3637,                 1.6618,              0.0006634,              0.0006634,              0.0006634
                     70,                0.84334,                0.89121,                  1.235,                 0.4009,                0.34913,                0.27001,                 0.1795,                  1.218,                  1.531,                 1.6635,             0.00065845,             0.00065845,             0.00065845
                     71,                0.82493,                0.85308,                 1.2294,                0.67665,                0.31877,                 0.3524,                0.22862,                 1.1552,                 1.3714,                 1.6182,              0.0006535,              0.0006535,              0.0006535
                     72,                0.84999,                0.87316,                 1.2327,                0.69502,                0.29418,                0.32107,                0.20463,                 1.1903,                 1.3184,                 1.6636,             0.00064855,             0.00064855,             0.00064855
                     73,                0.85765,                0.87013,                 1.2241,                0.75579,                0.31301,                 0.3593,                0.20755,                 1.1651,                 1.2978,                 1.6575,              0.0006436,              0.0006436,              0.0006436
                     74,                   0.88,                0.91405,                 1.2614,                0.73694,                0.34178,                0.40697,                0.28628,                 1.1865,                 1.2027,                 1.6879,             0.00063865,             0.00063865,             0.00063865
                     75,                0.83634,                0.88542,                 1.2163,                0.68811,                0.32766,                0.34444,                0.22266,                 1.2161,                 1.3304,                 1.6664,              0.0006337,              0.0006337,              0.0006337
                     76,                0.80692,                0.84465,                 1.1954,                0.72798,                0.32017,                0.36397,                0.25052,                  1.137,                 1.3042,                 1.6262,             0.00062875,             0.00062875,             0.00062875
                     77,                0.81007,                 0.8453,                  1.218,                0.70563,                0.32233,                 0.3923,                0.26804,                 1.1415,                  1.294,                 1.6368,              0.0006238,              0.0006238,              0.0006238
                     78,                 0.8264,                0.83315,                 1.2281,                0.68146,                0.35797,                0.38073,                0.23127,                 1.2115,                 1.2173,                 1.6931,             0.00061885,             0.00061885,             0.00061885
                     79,                0.77791,                0.82238,                 1.1909,                0.69517,                0.34048,                0.36169,                0.24423,                 1.2376,                 1.3429,                 1.7307,              0.0006139,              0.0006139,              0.0006139
                     80,                0.81399,                0.86238,                 1.2329,                0.73102,                0.35302,                0.38452,                0.29066,                 1.1441,                 1.2734,                 1.6121,             0.00060895,             0.00060895,             0.00060895
                     81,                0.81554,                0.84358,                 1.2347,                0.72599,                0.34374,                0.38145,                0.28186,                 1.1454,                 1.2032,                  1.619,               0.000604,               0.000604,               0.000604
                     82,                0.77321,                0.77524,                 1.1899,                0.71589,                0.34105,                0.36393,                0.24877,                 1.1526,                 1.2441,                 1.6209,             0.00059905,             0.00059905,             0.00059905
                     83,                0.82183,                  0.847,                  1.218,                0.41217,                0.33016,                0.30751,                0.19385,                 1.1673,                 1.3865,                 1.6426,              0.0005941,              0.0005941,              0.0005941
                     84,                0.77485,                0.79951,                  1.204,                0.73419,                0.31734,                0.36127,                0.25128,                 1.0688,                 1.2432,                  1.547,             0.00058915,             0.00058915,             0.00058915
                     85,                0.75362,                0.75696,                 1.1667,                0.74668,                0.34899,                0.38404,                0.26315,                 1.1238,                 1.1801,                 1.5786,              0.0005842,              0.0005842,              0.0005842
                     86,                0.81384,                0.80799,                 1.2173,                0.70137,                 0.3037,                0.34283,                0.23888,                 1.1519,                  1.269,                 1.6033,             0.00057925,             0.00057925,             0.00057925
                     87,                0.78935,                0.78126,                 1.1873,                0.70802,                0.33061,                0.37108,                0.24565,                 1.1799,                 1.2958,                  1.614,              0.0005743,              0.0005743,              0.0005743
                     88,                0.79457,                0.78019,                 1.2111,                0.68778,                0.36184,                0.36926,                0.25334,                 1.1645,                 1.2266,                 1.6121,             0.00056935,             0.00056935,             0.00056935
                     89,                 0.7357,                0.73535,                 1.1806,                0.64442,                 0.3428,                0.35219,                0.23389,                 1.2073,                 1.2821,                 1.6518,              0.0005644,              0.0005644,              0.0005644
                     90,                 0.7454,                0.75593,                 1.1883,                0.67335,                 0.3071,                0.35054,                0.24282,                  1.096,                 1.1905,                 1.5546,             0.00055945,             0.00055945,             0.00055945
                     91,                0.74918,                  0.721,                 1.1815,                0.65999,                0.34892,                 0.3673,                0.26275,                 1.0908,                 1.2245,                 1.5615,              0.0005545,              0.0005545,              0.0005545
                     92,                0.78107,                0.76647,                 1.1981,                0.74483,                0.34093,                0.39188,                0.27428,                  1.136,                 1.2151,                  1.595,             0.00054955,             0.00054955,             0.00054955
                     93,                 0.7765,                0.74035,                 1.1953,                0.52377,                0.35871,                0.39843,                0.28924,                 1.0939,                 1.1363,                 1.5776,              0.0005446,              0.0005446,              0.0005446
                     94,                0.78183,                0.77377,                 1.1982,                0.53609,                0.38186,                 0.4052,                 0.2758,                  1.135,                 1.1788,                 1.6128,             0.00053965,             0.00053965,             0.00053965
                     95,                0.79216,                0.75212,                 1.1915,                0.73916,                0.37298,                0.40624,                0.27952,                 1.1982,                 1.1735,                 1.6639,              0.0005347,              0.0005347,              0.0005347
                     96,                0.75846,                  0.748,                  1.159,                0.69473,                0.37021,                0.39399,                0.27226,                 1.1731,                 1.2215,                 1.6641,             0.00052975,             0.00052975,             0.00052975
                     97,                0.75756,                0.72742,                 1.1598,                0.66923,                0.33396,                0.37492,                 0.2666,                 1.2231,                 1.3288,                 1.7099,              0.0005248,              0.0005248,              0.0005248
                     98,                0.73489,                0.70728,                 1.1711,                0.73126,                0.31968,                0.39816,                0.27477,                 1.2103,                 1.2285,                 1.6688,             0.00051985,             0.00051985,             0.00051985
                     99,                0.73538,                0.72847,                 1.1721,                0.46531,                0.33894,                0.35292,                0.22996,                 1.2088,                 1.3616,                 1.6882,              0.0005149,              0.0005149,              0.0005149
                    100,                0.76141,                0.76311,                 1.1784,                0.71642,                0.24667,                0.33964,                0.23858,                 1.1579,                 1.4189,                 1.6009,             0.00050995,             0.00050995,             0.00050995
                    101,                 0.7897,                0.77786,                 1.2022,                0.64363,                0.36281,                 0.3779,                0.25316,                 1.1202,                 1.2392,                 1.5563,               0.000505,               0.000505,               0.000505
                    102,                0.72431,                0.71382,                 1.1353,                0.77116,                0.30677,                0.39943,                0.27344,                 1.1014,                 1.1849,                 1.5438,             0.00050005,             0.00050005,             0.00050005
                    103,                0.71356,                0.68077,                 1.1477,                0.52491,                0.31221,                0.39137,                0.26022,                 1.1357,                 1.2078,                 1.5963,              0.0004951,              0.0004951,              0.0004951
                    104,                0.75259,                0.72857,                 1.1715,                0.70094,                0.34884,                0.38511,                0.26621,                  1.158,                 1.1943,                 1.6202,             0.00049015,             0.00049015,             0.00049015
                    105,                0.71815,                0.74399,                 1.1592,                 0.9036,                  0.326,                0.38251,                0.27625,                 1.0875,                 1.1921,                 1.5782,              0.0004852,              0.0004852,              0.0004852
                    106,                 0.7409,                0.69136,                 1.1605,                0.70374,                0.37782,                0.38735,                0.28154,                 1.0667,                 1.1792,                 1.5519,             0.00048025,             0.00048025,             0.00048025
                    107,                0.73903,                 0.7196,                 1.1601,                0.90844,                0.33428,                0.39426,                0.27518,                 1.0623,                 1.1438,                 1.5378,              0.0004753,              0.0004753,              0.0004753
                    108,                0.73498,                0.69892,                  1.151,                0.73501,                0.33199,                 0.4002,                0.28051,                 1.0425,                 1.1512,                 1.5345,             0.00047035,             0.00047035,             0.00047035
                    109,                 0.7715,                0.71478,                 1.1758,                0.54319,                 0.3665,                0.39924,                0.26589,                 1.0859,                 1.1418,                 1.5718,              0.0004654,              0.0004654,              0.0004654
                    110,                0.73335,                0.71743,                 1.1516,                 0.5574,                0.35755,                0.40243,                0.25811,                 1.1766,                 1.1832,                 1.6792,             0.00046045,             0.00046045,             0.00046045
                    111,                0.72064,                0.71254,                 1.1598,                0.54915,                0.36563,                 0.3978,                0.26868,                 1.0825,                 1.1335,                  1.538,              0.0004555,              0.0004555,              0.0004555
                    112,                0.70728,                0.67916,                 1.1264,                0.56518,                0.36538,                0.39615,                0.28352,                 1.0671,                 1.1416,                 1.5261,             0.00045055,             0.00045055,             0.00045055
                    113,                0.70585,                0.66594,                 1.1482,                0.59329,                0.34111,                0.38717,                0.27806,                 1.0446,                 1.1981,                 1.5098,              0.0004456,              0.0004456,              0.0004456
                    114,                0.73496,                0.68789,                 1.1562,                0.69126,                0.35796,                0.38082,                0.28491,                 1.0855,                 1.2347,                  1.547,             0.00044065,             0.00044065,             0.00044065
                    115,                 0.7245,                0.71204,                 1.1625,                0.69258,                0.34691,                0.35294,                0.26057,                 1.1427,                 1.2898,                 1.6158,              0.0004357,              0.0004357,              0.0004357
                    116,                0.69852,                0.65612,                 1.1553,                0.84902,                0.33536,                0.33839,                0.24485,                 1.1296,                 1.2854,                 1.5829,             0.00043075,             0.00043075,             0.00043075
                    117,                0.72678,                0.69361,                 1.1685,                0.77205,                0.28188,                0.39136,                0.28309,                 1.1704,                 1.1668,                 1.6248,              0.0004258,              0.0004258,              0.0004258
                    118,                0.69156,                0.65853,                 1.1315,                0.91248,                0.30134,                0.37905,                0.27966,                 1.1097,                 1.2061,                 1.5858,             0.00042085,             0.00042085,             0.00042085
                    119,                0.70735,                0.69893,                 1.1615,                0.74505,                0.36075,                0.40133,                0.28626,                 1.1094,                 1.1989,                 1.5875,              0.0004159,              0.0004159,              0.0004159
                    120,                0.70424,                0.65893,                 1.1479,                0.58276,                0.33964,                0.40949,                0.29909,                 1.0718,                 1.1324,                 1.5676,             0.00041095,             0.00041095,             0.00041095
                    121,                0.67834,                 0.6369,                 1.1184,                0.52734,                 0.3393,                0.38472,                 0.2829,                 1.0718,                  1.199,                 1.5376,               0.000406,               0.000406,               0.000406
                    122,                0.69265,                0.65687,                 1.1464,                0.55402,                0.31912,                0.38212,                0.28447,                 1.0622,                 1.1928,                 1.5482,             0.00040105,             0.00040105,             0.00040105
                    123,                0.70286,                0.64983,                 1.1365,                0.56069,                0.33136,                0.40119,                0.30631,                 1.0827,                 1.1517,                 1.5753,              0.0003961,              0.0003961,              0.0003961
                    124,                0.67054,                0.66225,                 1.1295,                0.51451,                0.32223,                0.38253,                0.27685,                 1.0609,                  1.292,                  1.525,             0.00039115,             0.00039115,             0.00039115
                    125,                0.67372,                0.63757,                 1.1216,                0.70234,                0.35053,                0.38826,                0.28354,                 1.0724,                 1.2683,                 1.5243,              0.0003862,              0.0003862,              0.0003862
                    126,                0.68739,                0.65277,                 1.1253,                0.54727,                0.34808,                0.39241,                0.27409,                 1.1017,                 1.2251,                  1.557,             0.00038125,             0.00038125,             0.00038125
                    127,                0.71015,                0.64999,                 1.1358,                 0.5264,                0.37242,                0.40017,                0.27864,                 1.0804,                 1.1501,                 1.5352,              0.0003763,              0.0003763,              0.0003763
                    128,                0.71713,                0.66104,                 1.1542,                0.51281,                0.37099,                0.38802,                0.26299,                 1.0808,                 1.1491,                 1.5394,             0.00037135,             0.00037135,             0.00037135
                    129,                0.67489,                0.63035,                   1.11,                0.53056,                0.32979,                 0.3753,                0.25581,                 1.0886,                 1.2223,                 1.5722,              0.0003664,              0.0003664,              0.0003664
                    130,                0.68624,                0.64738,                 1.1553,                 0.7301,                0.32458,                 0.3867,                0.26507,                 1.1153,                 1.2125,                  1.617,             0.00036145,             0.00036145,             0.00036145
                    131,                0.63058,                0.59688,                 1.0914,                0.54427,                0.35463,                 0.3862,                 0.2748,                 1.0745,                 1.1852,                 1.5699,              0.0003565,              0.0003565,              0.0003565
                    132,                0.64919,                0.60609,                  1.102,                0.57367,                0.32655,                0.38149,                0.27292,                  1.101,                 1.2054,                 1.6032,             0.00035155,             0.00035155,             0.00035155
                    133,                0.65407,                0.61609,                  1.118,                 0.5757,                0.35368,                0.39046,                0.27771,                 1.0755,                 1.1582,                   1.57,              0.0003466,              0.0003466,              0.0003466
                    134,                0.67189,                 0.6331,                 1.1167,                0.56929,                0.33164,                0.38036,                0.29088,                 1.0485,                 1.1865,                 1.5061,             0.00034165,             0.00034165,             0.00034165
                    135,                0.66736,                0.59942,                 1.1217,                0.58452,                0.33836,                0.38517,                0.29318,                  1.088,                 1.2646,                 1.5417,              0.0003367,              0.0003367,              0.0003367
                    136,                0.64229,                0.59324,                  1.094,                0.59129,                0.34702,                0.38811,                0.28193,                 1.1105,                 1.2753,                 1.5602,             0.00033175,             0.00033175,             0.00033175
                    137,                0.64686,                0.60536,                 1.1168,                 0.6161,                0.34871,                0.39017,                0.29004,                 1.0628,                 1.1557,                 1.5157,              0.0003268,              0.0003268,              0.0003268
                    138,                0.67889,                0.60964,                 1.1269,                0.56964,                0.33178,                0.39699,                0.29354,                 1.0741,                 1.1669,                 1.5525,             0.00032185,             0.00032185,             0.00032185
                    139,                0.66558,                0.59499,                 1.1121,                0.53769,                0.41057,                0.40265,                0.27369,                 1.0509,                 1.1311,                 1.5151,              0.0003169,              0.0003169,              0.0003169
                    140,                0.64253,                0.57336,                 1.1011,                0.52851,                0.43033,                0.41556,                 0.2813,                 1.0752,                 1.0746,                 1.5557,             0.00031195,             0.00031195,             0.00031195
                    141,                0.66593,                0.61066,                 1.1372,                0.56808,                0.38007,                0.41779,                0.28338,                 1.1063,                 1.1339,                 1.5863,               0.000307,               0.000307,               0.000307
                    142,                0.64583,                0.59764,                  1.108,                0.54118,                0.33773,                 0.3975,                0.29387,                  1.062,                 1.1586,                  1.534,             0.00030205,             0.00030205,             0.00030205
                    143,                0.61949,                0.56225,                 1.1013,                0.61598,                 0.3234,                0.41414,                0.30943,                  1.042,                 1.0583,                 1.5115,              0.0002971,              0.0002971,              0.0002971
                    144,                0.61377,                0.56913,                 1.0959,                0.58422,                0.37523,                0.41512,                0.30417,                 1.0299,                 1.0292,                 1.4968,             0.00029215,             0.00029215,             0.00029215
                    145,                0.62207,                0.60135,                 1.1016,                0.58429,                0.36526,                0.41645,                 0.3056,                 1.0404,                  1.047,                 1.5263,              0.0002872,              0.0002872,              0.0002872
                    146,                0.62456,                0.59627,                 1.1025,                0.55765,                0.36141,                0.40631,                0.29188,                 1.0855,                 1.1111,                 1.5676,             0.00028225,             0.00028225,             0.00028225
                    147,                 0.6598,                 0.5957,                 1.1186,                0.67632,                 0.3544,                0.38728,                0.26976,                 1.0697,                 1.1759,                 1.5547,              0.0002773,              0.0002773,              0.0002773
                    148,                0.64546,                0.58816,                 1.1224,                0.53296,                0.38833,                0.41381,                0.27743,                 1.0882,                 1.0853,                 1.5725,             0.00027235,             0.00027235,             0.00027235
                    149,                0.61751,                  0.564,                 1.0831,                0.74769,                0.36985,                0.42901,                0.29717,                 1.0643,                 1.0718,                 1.5443,              0.0002674,              0.0002674,              0.0002674
                    150,                0.65558,                0.58319,                 1.0994,                0.59156,                0.33697,                0.41668,                0.29027,                 1.0392,                 1.0876,                 1.5245,             0.00026245,             0.00026245,             0.00026245
